customer_id,signup_date,acquisition_channel,age_group,city
1,11/8/2024,Organic,35-44,Tanta
2,6/2/2025,Referral,55+,Giza
3,7/24/2024,Social,18-24,Cairo
4,1/9/2025,Social,18-24,Cairo
5,3/26/2025,Paid Search,35-44,Alexandria
6,9/17/2025,Paid Search,25-34,Aswan
7,8/17/2025,Paid Search,25-34,Mansoura
8,6/27/2024,Referral,18-24,Cairo
9,7/28/2024,Social,18-24,Cairo
10,5/14/2025,Social,45-54,Mansoura
11,4/8/2025,Paid Search,18-24,Tanta
12,5/3/2024,Referral,25-34,Alexandria
13,4/22/2024,Email,35-44,Alexandria
14,1/12/2024,Paid Search,25-34,Cairo
15,5/5/2024,Paid Search,18-24,Tanta
16,7/18/2025,Paid Search,45-54,Mansoura
17,11/26/2024,Paid Search,18-24,Cairo
18,10/9/2024,Organic,45-54,Mansoura
19,5/19/2024,Organic,45-54,Cairo
20,2/4/2025,Paid Search,25-34,Cairo
21,4/6/2024,Social,35-44,Cairo
22,5/31/2025,Paid Search,35-44,Cairo
23,7/22/2025,Paid Search,25-34,Giza
24,3/9/2024,Organic,45-54,Giza
25,4/27/2024,Organic,45-54,Alexandria
26,2/28/2024,Email,25-34,Giza
27,2/2/2024,Paid Search,35-44,Cairo
28,11/13/2024,Organic,55+,Cairo
29,2/19/2024,Social,55+,Alexandria
30,5/3/2025,Paid Search,35-44,Giza
31,1/19/2024,Social,25-34,Cairo
32,7/15/2024,Paid Search,25-34,Tanta
33,3/25/2025,Paid Search,55+,Mansoura
34,7/12/2025,Referral,18-24,Tanta
35,3/27/2025,Referral,35-44,Giza
36,10/15/2024,Email,25-34,Cairo
37,5/20/2024,Paid Search,25-34,Mansoura
38,3/24/2024,Paid Search,25-34,Cairo
39,1/25/2025,Social,55+,Giza
40,8/13/2025,Organic,18-24,Cairo
41,8/2/2024,Paid Search,35-44,Tanta
42,6/9/2025,Organic,18-24,Cairo
43,8/2/2024,Paid Search,25-34,Aswan
44,2/6/2025,Referral,25-34,Tanta
45,5/7/2024,Paid Search,35-44,Giza
46,4/21/2025,Social,25-34,Mansoura
47,2/7/2025,Paid Search,25-34,Alexandria
48,1/29/2024,Organic,18-24,Tanta
49,12/3/2024,Social,25-34,Giza
50,12/26/2024,Paid Search,55+,Mansoura
51,7/22/2025,Referral,55+,Giza
52,1/26/2025,Email,25-34,Aswan
53,8/5/2024,Referral,35-44,Giza
54,7/27/2025,Referral,55+,Giza
55,10/30/2025,Social,18-24,Mansoura
56,7/20/2024,Referral,45-54,Tanta
57,1/17/2024,Paid Search,55+,Alexandria
58,11/17/2024,Paid Search,18-24,Cairo
59,6/1/2025,Paid Search,25-34,Giza
60,7/23/2025,Organic,55+,Aswan
61,11/20/2024,Organic,35-44,Mansoura
62,2/15/2025,Paid Search,18-24,Tanta
63,11/13/2024,Email,25-34,Cairo
64,3/22/2024,Organic,25-34,Giza
65,4/18/2025,Paid Search,35-44,Alexandria
66,4/12/2025,Social,35-44,Tanta
67,2/28/2025,Paid Search,55+,Cairo
68,7/22/2024,Email,25-34,Tanta
69,8/5/2025,Paid Search,35-44,Alexandria
70,1/21/2025,Referral,35-44,Cairo
71,4/7/2024,Email,25-34,Giza
72,12/10/2024,Paid Search,25-34,Cairo
73,7/26/2024,Paid Search,55+,Alexandria
74,5/28/2025,Email,45-54,Cairo
75,9/27/2025,Social,35-44,Cairo
76,8/8/2025,Social,35-44,Tanta
77,6/14/2024,Email,25-34,Cairo
78,1/22/2024,Paid Search,35-44,Cairo
79,6/2/2024,Organic,35-44,Giza
80,3/14/2025,Paid Search,35-44,Alexandria
81,10/21/2024,Referral,55+,Mansoura
82,8/6/2024,Social,35-44,Giza
83,10/30/2025,Organic,25-34,Mansoura
84,5/9/2025,Paid Search,45-54,Alexandria
85,8/17/2024,Paid Search,25-34,Cairo
86,1/20/2024,Organic,25-34,Cairo
87,7/6/2025,Social,25-34,Giza
88,5/27/2024,Social,25-34,Giza
89,4/17/2024,Referral,45-54,Mansoura
90,2/6/2025,Organic,35-44,Alexandria
91,8/18/2025,Paid Search,45-54,Giza
92,4/27/2025,Social,35-44,Cairo
93,1/1/2025,Email,25-34,Cairo
94,2/17/2025,Social,45-54,Alexandria
95,11/4/2024,Email,25-34,Giza
96,5/13/2024,Organic,25-34,Alexandria
97,10/9/2024,Organic,35-44,Cairo
98,3/13/2024,Organic,25-34,Alexandria
99,4/25/2025,Paid Search,18-24,Tanta
100,12/17/2024,Paid Search,35-44,Cairo
101,7/13/2025,Paid Search,35-44,Giza
102,11/21/2024,Social,25-34,Aswan
103,3/18/2025,Paid Search,55+,Giza
104,4/9/2024,Organic,35-44,Alexandria
105,2/28/2024,Referral,45-54,Cairo
106,5/22/2025,Paid Search,18-24,Alexandria
107,9/14/2024,Organic,35-44,Cairo
108,2/16/2025,Email,45-54,Aswan
109,3/27/2025,Paid Search,35-44,Mansoura
110,3/5/2024,Paid Search,35-44,Mansoura
111,8/17/2025,Paid Search,25-34,Mansoura
112,6/2/2024,Paid Search,18-24,Alexandria
113,9/22/2024,Referral,25-34,Giza
114,3/19/2024,Email,25-34,Tanta
115,11/10/2024,Social,45-54,Aswan
116,10/23/2025,Referral,25-34,Giza
117,7/13/2025,Email,55+,Aswan
118,9/4/2024,Paid Search,55+,Alexandria
119,9/1/2025,Referral,25-34,Alexandria
120,2/17/2025,Organic,25-34,Giza
121,1/25/2024,Email,45-54,Cairo
122,10/10/2024,Referral,55+,Cairo
123,3/24/2025,Paid Search,25-34,Cairo
124,10/27/2024,Paid Search,25-34,Alexandria
125,3/8/2024,Paid Search,35-44,Giza
126,1/7/2024,Organic,35-44,Giza
127,5/16/2024,Email,25-34,Aswan
128,6/12/2024,Referral,35-44,Giza
129,3/23/2024,Paid Search,18-24,Giza
130,10/11/2025,Organic,18-24,Cairo
131,2/23/2025,Organic,25-34,Cairo
132,3/13/2024,Paid Search,25-34,Mansoura
133,8/24/2024,Paid Search,25-34,Alexandria
134,2/15/2024,Organic,35-44,Mansoura
135,9/9/2025,Referral,25-34,Cairo
136,9/18/2024,Organic,25-34,Alexandria
137,6/24/2024,Organic,25-34,Cairo
138,6/14/2024,Social,55+,Cairo
139,10/18/2025,Organic,25-34,Cairo
140,1/4/2025,Referral,25-34,Cairo
141,2/23/2024,Referral,35-44,Giza
142,2/22/2025,Paid Search,55+,Cairo
