order_item_id,order_id,product_id,quantity,unit_price
1,1,30,1,166.8
2,1,40,2,122.33
3,2,26,1,94.48
4,2,40,1,122.43
5,3,9,1,110.69
6,3,12,2,166.43
7,3,51,2,160.99
8,4,5,2,150.21
9,4,58,2,76.09
10,5,35,1,10.72
11,5,43,1,54.37
12,5,33,2,15.81
13,6,23,1,157.74
14,6,46,2,95.04
15,6,14,1,195.24
16,7,55,2,88.55
17,7,29,2,36.26
18,8,45,2,22.86
19,8,36,1,47.37
20,8,58,2,81.63
21,9,52,1,197.17
22,9,43,1,54.58
23,9,6,1,186.45
24,10,23,1,161.89
25,10,6,1,195.27
26,10,19,2,33.32
27,11,18,2,108.12
28,11,24,2,47.34
29,11,48,1,68.85
30,12,28,2,11.14
31,12,38,2,199.67
32,12,4,1,64.46
33,13,9,2,102.94
34,13,51,2,157.27
35,14,16,2,145.3
36,15,11,2,126.94
37,16,19,1,32.15
38,16,13,1,210.83
39,17,1,2,173.57
40,17,36,2,48.13
41,18,21,2,180.72
42,18,27,1,132.26
43,18,51,1,152.99
44,19,44,2,124.64
45,20,59,2,71.37
46,20,39,1,27.23
47,20,43,1,55.45
48,21,46,1,99.3
49,21,35,2,10.91
50,21,3,2,176.29
51,22,18,1,109.31
52,22,7,2,73.56
53,22,10,1,40.07
54,23,23,2,152.48
55,23,6,1,209.27
56,24,5,1,158.9
57,25,37,2,167.6
58,25,33,1,14.8
59,25,18,2,107.5
60,26,12,1,163.78
61,27,40,1,129.76
62,27,24,1,49.36
63,27,43,1,55.35
64,28,21,2,189.96
65,29,54,2,68.34
66,30,18,2,105.36
67,30,60,2,141.16
68,30,11,1,132.17
69,31,33,1,14.88
70,32,46,1,93.39
71,33,10,2,42.95
72,33,41,2,62.16
73,33,43,2,53.82
74,34,31,1,220.81
75,34,10,2,41.46
76,35,22,1,122.95
77,36,41,1,59.16
78,36,28,2,11.43
79,36,58,1,80.96
80,37,55,2,85.76
81,38,32,1,75.2
82,38,21,2,181.12
83,39,28,1,11.56
84,40,59,2,74.82
85,40,40,2,126.08
86,40,58,2,74.33
87,41,35,2,10.73
