order_id,customer_id,order_date,delivery_days,discount_pct,order_status
1,1,11/9/2024,3,0,Delivered
2,2,6/5/2025,2,15,Returned
3,3,7/28/2024,3,15,Cancelled
4,4,1/11/2025,4,0,Cancelled
5,5,3/26/2025,4,20,Delivered
6,6,9/18/2025,4,0,Delivered
7,7,8/17/2025,2,5,Returned
8,7,8/25/2025,2,15,Delivered
9,8,6/27/2024,5,0,Delivered
10,9,7/28/2024,2,0,Cancelled
11,10,5/14/2025,1,15,Delivered
12,11,4/10/2025,6,10,Delivered
13,12,5/4/2024,6,0,Delivered
14,12,5/9/2024,7,0,Delivered
15,12,5/13/2024,4,0,Delivered
16,12,5/18/2024,5,0,Delivered
17,12,10/26/2024,1,0,Delivered
18,13,4/23/2024,5,10,Delivered
19,13,5/4/2024,2,10,Returned
20,13,5/21/2024,2,20,Delivered
21,13,5/30/2024,2,0,Delivered
22,13,6/12/2024,6,5,Delivered
23,13,9/17/2024,3,10,Delivered
24,14,1/13/2024,3,0,Delivered
25,15,5/5/2024,7,10,Delivered
26,16,7/18/2025,1,0,Cancelled
27,16,7/30/2025,3,5,Delivered
28,17,11/30/2024,7,5,Cancelled
29,18,10/12/2024,6,0,Delivered
30,19,5/20/2024,9,0,Delivered
31,19,7/6/2024,3,0,Delivered
32,20,2/4/2025,8,0,Delivered
33,21,4/9/2024,5,0,Delivered
34,21,5/7/2024,6,15,Delivered
35,22,6/1/2025,6,5,Cancelled
36,23,7/25/2025,1,0,Delivered
37,24,3/11/2024,5,0,Delivered
38,25,4/27/2024,6,10,Delivered
39,26,3/2/2024,4,0,Delivered
40,27,2/4/2024,5,0,Delivered
41,27,3/16/2024,5,0,Delivered
42,27,3/20/2024,2,5,Delivered
43,28,11/15/2024,6,0,Delivered
44,29,2/21/2024,3,15,Delivered
45,30,5/5/2025,3,0,Delivered
46,31,1/23/2024,5,5,Returned
47,32,7/18/2024,1,0,Returned
48,33,3/28/2025,6,0,Delivered
49,34,7/16/2025,1,20,Delivered
50,35,3/30/2025,5,0,Delivered
51,36,10/16/2024,2,0,Delivered
52,37,5/20/2024,4,0,Delivered
53,38,3/26/2024,4,20,Delivered
54,38,5/8/2024,7,10,Returned
55,39,1/25/2025,2,15,Delivered
56,40,8/13/2025,3,0,Delivered
57,41,8/4/2024,6,15,Delivered
58,41,8/26/2024,1,5,Delivered
59,41,11/14/2024,4,0,Cancelled
60,41,11/25/2024,4,0,Delivered
61,42,6/11/2025,5,5,Delivered
62,42,6/13/2025,5,0,Returned
63,43,8/3/2024,6,0,Cancelled
64,44,2/7/2025,3,20,Cancelled
65,44,4/25/2025,2,15,Delivered
66,45,5/11/2024,3,0,Delivered
67,46,4/21/2025,3,5,Delivered
68,47,2/11/2025,6,0,Delivered
69,48,2/1/2024,4,20,Delivered
70,48,3/2/2024,3,0,Delivered
71,49,12/7/2024,2,0,Delivered
72,50,12/28/2024,1,0,Delivered
73,51,7/26/2025,6,0,Delivered
74,51,8/3/2025,9,5,Delivered
75,51,9/22/2025,3,5,Returned
76,52,1/29/2025,7,0,Delivered
77,52,2/8/2025,4,5,Delivered
78,53,8/7/2024,3,0,Cancelled
79,54,7/27/2025,4,0,Delivered
80,55,10/30/2025,3,15,Delivered
81,56,7/21/2024,4,0,Delivered
82,57,1/19/2024,3,5,Delivered
83,58,11/18/2024,3,0,Delivered
84,59,6/1/2025,7,20,Delivered
85,60,7/27/2025,3,5,Delivered
86,60,9/24/2025,5,15,Delivered
87,60,12/17/2025,3,0,Delivered
88,61,11/23/2024,1,0,Delivered
89,62,2/19/2025,3,0,Delivered
90,62,2/23/2025,5,0,Delivered
91,63,11/17/2024,4,0,Delivered
92,63,12/16/2024,1,5,Delivered
93,64,3/26/2024,2,0,Cancelled
94,65,4/22/2025,2,20,Delivered
95,66,4/16/2025,5,5,Returned
96,66,7/17/2025,4,5,Delivered
97,67,3/2/2025,1,5,Delivered
98,67,3/23/2025,6,0,Delivered
99,67,4/29/2025,3,10,Delivered
100,68,7/26/2024,3,15,Delivered
101,69,8/7/2025,5,0,Delivered
102,70,1/25/2025,7,5,Cancelled
103,71,4/8/2024,8,5,Delivered
104,72,12/14/2024,6,20,Delivered
105,72,1/28/2025,7,0,Returned
106,73,7/26/2024,6,15,Delivered
107,74,6/1/2025,5,20,Delivered
108,74,6/11/2025,1,10,Cancelled
109,74,6/25/2025,3,0,Delivered
110,75,9/29/2025,2,20,Delivered
111,75,10/4/2025,5,10,Delivered
112,76,8/12/2025,5,10,Delivered
113,77,6/16/2024,7,0,Returned
114,78,1/26/2024,3,10,Delivered
115,78,2/6/2024,6,10,Delivered
116,79,6/2/2024,2,5,Delivered
117,79,12/12/2024,1,5,Delivered
118,80,3/14/2025,3,0,Delivered
119,81,10/21/2024,1,20,Delivered
120,82,8/10/2024,4,0,Delivered
121,83,11/3/2025,4,5,Delivered
122,84,5/10/2025,4,20,Returned
123,85,8/20/2024,1,10,Delivered
124,85,9/19/2024,6,15,Delivered
125,86,1/20/2024,6,0,Cancelled
126,87,7/8/2025,6,10,Delivered
127,87,8/14/2025,7,0,Delivered
128,88,5/28/2024,5,10,Delivered
129,89,4/20/2024,5,0,Cancelled
130,89,4/23/2024,3,5,Delivered
131,90,2/10/2025,3,0,Delivered
132,91,8/18/2025,6,0,Delivered
133,92,5/1/2025,6,0,Delivered
134,93,1/2/2025,2,5,Delivered
135,93,1/26/2025,3,15,Delivered
136,94,2/20/2025,4,10,Returned
137,95,11/6/2024,5,20,Returned
138,95,11/30/2024,3,15,Delivered
139,96,5/15/2024,4,15,Delivered
140,96,6/3/2024,7,10,Delivered
141,97,10/11/2024,2,15,Cancelled
142,98,3/17/2024,2,0,Delivered
143,99,4/25/2025,6,0,Delivered
144,99,7/8/2025,3,5,Returned
145,100,12/21/2024,3,15,Delivered
146,100,1/14/2025,1,0,Returned
147,101,7/15/2025,8,5,Delivered
148,102,11/22/2024,2,10,Returned
149,103,3/22/2025,6,0,Returned
150,103,4/28/2025,1,0,Delivered
151,104,4/11/2024,5,20,Delivered
152,105,2/29/2024,4,0,Delivered
153,106,5/24/2025,4,20,Delivered
154,107,9/17/2024,5,0,Returned
155,108,2/16/2025,1,15,Delivered
156,109,3/28/2025,8,10,Delivered
157,109,5/8/2025,2,15,Delivered
158,110,3/7/2024,7,15,Delivered
159,111,8/17/2025,4,5,Delivered
160,112,6/2/2024,5,0,Cancelled
161,113,9/26/2024,3,5,Delivered
162,114,3/20/2024,3,0,Delivered
163,114,3/28/2024,6,5,Delivered
164,115,11/12/2024,2,0,Delivered
165,116,10/24/2025,2,15,Delivered
166,116,12/13/2025,6,10,Delivered
167,117,7/15/2025,5,5,Delivered
168,117,7/25/2025,1,10,Delivered
169,118,9/8/2024,2,0,Delivered
170,119,9/5/2025,4,0,Delivered
171,119,9/11/2025,2,0,Delivered
172,120,2/19/2025,3,5,Delivered
173,120,3/24/2025,4,20,Cancelled
174,121,1/29/2024,7,10,Delivered
175,122,10/14/2024,1,0,Delivered
176,122,11/7/2024,6,0,Delivered
177,122,12/18/2024,4,0,Delivered
178,123,3/26/2025,2,5,Delivered
179,124,10/27/2024,1,5,Delivered
180,124,2/12/2025,4,0,Delivered
181,124,2/17/2025,4,20,Delivered
182,125,3/11/2024,4,0,Delivered
183,126,1/9/2024,4,0,Returned
184,126,1/28/2024,5,0,Delivered
185,127,5/18/2024,3,5,Delivered
186,127,5/22/2024,8,0,Cancelled
187,128,6/12/2024,1,5,Cancelled
188,128,8/17/2024,5,0,Delivered
189,128,9/16/2024,2,0,Delivered
190,128,10/8/2024,1,5,Cancelled
191,128,11/2/2024,3,0,Delivered
192,128,12/22/2024,4,0,Delivered
193,128,1/17/2025,5,0,Cancelled
194,129,3/27/2024,7,15,Delivered
195,130,10/15/2025,5,0,Delivered
196,131,2/27/2025,3,0,Returned
197,131,6/10/2025,2,0,Delivered
198,131,9/5/2025,5,0,Delivered
199,132,3/16/2024,4,0,Delivered
200,133,8/28/2024,3,5,Delivered
201,133,1/24/2025,3,10,Delivered
202,134,2/18/2024,2,0,Delivered
203,134,3/12/2024,2,0,Delivered
204,135,9/13/2025,5,15,Delivered
205,136,9/18/2024,5,0,Returned
206,137,6/24/2024,4,0,Cancelled
207,137,7/8/2024,7,0,Delivered
208,137,7/21/2024,1,15,Delivered
209,138,6/16/2024,3,10,Returned
210,139,10/22/2025,5,0,Delivered
211,140,1/7/2025,3,10,Delivered
212,140,1/25/2025,1,5,Delivered
213,141,2/26/2024,6,15,Delivered
214,141,3/2/2024,2,5,Delivered
215,141,4/13/2024,3,15,Delivered
216,142,2/22/2025,1,15,Delivered
217,142,3/2/2025,6,0,Delivered
218,143,5/21/2025,7,5,Delivered
219,144,12/10/2024,2,15,Delivered
220,145,5/9/2024,3,15,Delivered
221,146,2/16/2025,7,20,Delivered
222,147,1/3/2025,7,5,Delivered
223,148,9/30/2024,4,10,Returned
224,149,10/5/2025,1,5,Delivered
225,149,10/17/2025,3,10,Delivered
226,149,11/2/2025,5,0,Cancelled
227,150,8/27/2025,2,0,Delivered
228,151,1/14/2025,5,5,Delivered
229,152,3/17/2024,4,0,Delivered
230,152,4/15/2024,5,5,Delivered
231,153,9/6/2024,7,0,Delivered
232,153,9/9/2024,2,10,Cancelled
233,154,2/14/2024,4,15,Delivered
234,155,1/15/2025,7,0,Delivered
235,155,7/10/2025,5,10,Delivered
236,156,2/13/2024,4,5,Delivered
237,157,6/20/2024,4,20,Delivered
238,158,8/2/2024,3,5,Returned
239,158,8/25/2024,3,10,Returned
240,159,5/11/2025,6,0,Cancelled
241,160,2/11/2024,2,0,Delivered
242,161,1/7/2025,4,10,Delivered
243,161,1/27/2025,1,0,Delivered
244,162,6/1/2024,1,0,Delivered
245,162,7/31/2024,2,5,Delivered
246,163,4/21/2024,7,15,Delivered
247,163,4/25/2024,4,20,Delivered
248,164,4/25/2025,6,0,Delivered
249,165,3/15/2025,8,0,Delivered
250,166,2/16/2024,3,10,Delivered
251,166,4/10/2024,6,5,Delivered
252,166,4/13/2024,7,15,Returned
253,167,7/29/2025,4,10,Delivered
254,167,11/24/2025,6,5,Cancelled
255,168,1/4/2025,3,5,Returned
256,169,3/11/2024,1,0,Delivered
257,170,10/28/2024,4,5,Delivered
258,171,10/25/2024,1,10,Delivered
259,172,7/22/2024,7,5,Delivered
260,173,3/5/2024,5,0,Returned
261,174,11/10/2024,7,10,Delivered
262,175,6/13/2024,7,20,Delivered
263,176,11/26/2024,5,0,Delivered
264,177,6/12/2025,7,0,Delivered
265,178,12/5/2024,1,5,Delivered
266,179,8/31/2025,5,0,Delivered
267,179,9/24/2025,4,20,Cancelled
268,179,11/6/2025,5,0,Delivered
269,180,11/1/2024,3,10,Returned
270,180,12/21/2024,5,10,Cancelled
271,181,5/17/2025,1,0,Delivered
272,182,10/12/2025,6,5,Delivered
273,183,12/4/2024,7,5,Delivered
274,183,12/21/2024,8,10,Delivered
275,184,7/4/2025,3,15,Delivered
276,185,10/4/2025,7,10,Cancelled
277,186,10/3/2024,4,0,Delivered
278,187,6/12/2024,5,5,Delivered
279,188,3/22/2025,3,20,Delivered
280,189,11/17/2024,4,0,Delivered
281,189,1/3/2025,5,15,Delivered
282,190,8/12/2025,4,10,Delivered
283,191,5/22/2025,3,15,Delivered
284,192,1/23/2025,3,15,Delivered
285,193,8/29/2025,7,15,Delivered
286,193,10/20/2025,8,0,Delivered
287,193,11/12/2025,1,0,Cancelled
288,194,5/12/2025,4,10,Cancelled
289,195,5/7/2025,3,0,Delivered
290,196,3/13/2024,3,10,Delivered
291,197,5/25/2025,5,0,Returned
292,198,1/25/2025,4,0,Delivered
293,198,3/13/2025,3,0,Cancelled
294,199,9/14/2025,3,0,Delivered
295,200,10/23/2024,3,0,Delivered
296,200,11/27/2024,4,0,Delivered
297,201,1/3/2025,5,10,Cancelled
298,202,7/5/2025,3,0,Delivered
299,203,10/14/2025,2,0,Delivered
300,203,11/26/2025,4,15,Cancelled
301,204,7/23/2025,1,10,Delivered
302,205,7/8/2024,6,10,Delivered
303,206,3/20/2025,5,0,Delivered
304,207,7/23/2025,2,0,Delivered
305,208,1/1/2025,2,5,Delivered
306,209,5/4/2024,5,0,Delivered
307,210,7/7/2024,4,15,Cancelled
308,210,10/2/2024,2,20,Delivered
309,211,2/24/2025,4,0,Delivered
310,212,9/19/2025,5,10,Delivered
311,213,9/10/2024,7,0,Delivered
312,214,9/11/2025,6,5,Delivered
313,214,10/23/2025,5,15,Cancelled
314,215,7/3/2025,4,0,Delivered
